confidence_type,participant,bias_source,bias_direction,line_type,label,value
concurrent,S031,payoff,short,long,s2_1,82
concurrent,S031,payoff,short,long,s2_2,1
concurrent,S031,payoff,short,short,s1_1,0
concurrent,S031,payoff,short,short,s1_2,0
concurrent,S031,payoff,short,short,s2_1,86
concurrent,S031,payoff,short,short,s2_2,34
concurrent,S032,mullerlyer,long,long,s1_1,40
concurrent,S032,mullerlyer,long,long,s1_2,61
concurrent,S032,mullerlyer,long,long,s2_1,19
concurrent,S032,mullerlyer,long,long,s2_2,0
concurrent,S032,mullerlyer,long,short,s1_1,23
concurrent,S032,mullerlyer,long,short,s1_2,6
concurrent,S032,mullerlyer,long,short,s2_1,76
concurrent,S032,mullerlyer,long,short,s2_2,15
concurrent,S032,mullerlyer,short,long,s1_1,49
concurrent,S032,mullerlyer,short,long,s1_2,48
concurrent,S032,mullerlyer,short,long,s2_1,22
concurrent,S032,mullerlyer,short,long,s2_2,1
concurrent,S032,mullerlyer,short,short,s1_1,7
concurrent,S032,mullerlyer,short,short,s1_2,0
concurrent,S032,mullerlyer,short,short,s2_1,36
concurrent,S032,mullerlyer,short,short,s2_2,77
concurrent,S033,baserate,long,long,s1_1,135
concurrent,S033,baserate,long,long,s1_2,101
concurrent,S033,baserate,long,long,s2_1,23
concurrent,S033,baserate,long,long,s2_2,11
concurrent,S033,baserate,long,short,s1_1,11
concurrent,S033,baserate,long,short,s1_2,1
concurrent,S033,baserate,long,short,s2_1,19
concurrent,S033,baserate,long,short,s2_2,59
concurrent,S033,baserate,short,long,s1_1,49
concurrent,S033,baserate,short,long,s1_2,17
concurrent,S033,baserate,short,long,s2_1,21
concurrent,S033,baserate,short,long,s2_2,3
concurrent,S033,baserate,short,short,s1_1,18
concurrent,S033,baserate,short,short,s1_2,0
concurrent,S033,baserate,short,short,s2_1,131
concurrent,S033,baserate,short,short,s2_2,121
concurrent,S034,payoff,long,long,s1_1,29
concurrent,S034,payoff,long,long,s1_2,84
concurrent,S034,payoff,long,long,s2_1,6
concurrent,S034,payoff,long,long,s2_2,1
concurrent,S034,payoff,long,short,s1_1,30
concurrent,S034,payoff,long,short,s1_2,14
concurrent,S034,payoff,long,short,s2_1,35
concurrent,S034,payoff,long,short,s2_2,41
concurrent,S034,payoff,short,long,s1_1,27
concurrent,S034,payoff,short,long,s1_2,28
concurrent,S034,payoff,short,long,s2_1,29
concurrent,S034,payoff,short,long,s2_2,36
concurrent,S034,payoff,short,short,s1_1,7
concurrent,S034,payoff,short,short,s1_2,2
concurrent,S034,payoff,short,short,s2_1,51
concurrent,S034,payoff,short,short,s2_2,60
concurrent,S035,mullerlyer,long,long,s1_1,40
concurrent,S035,mullerlyer,long,long,s1_2,62
concurrent,S035,mullerlyer,long,long,s2_1,16
concurrent,S035,mullerlyer,long,long,s2_2,2
concurrent,S035,mullerlyer,long,short,s1_1,23
concurrent,S035,mullerlyer,long,short,s1_2,3
concurrent,S035,mullerlyer,long,short,s2_1,40
concurrent,S035,mullerlyer,long,short,s2_2,54
concurrent,S035,mullerlyer,short,long,s1_1,58
concurrent,S035,mullerlyer,short,long,s1_2,52
concurrent,S035,mullerlyer,short,long,s2_1,10
concurrent,S035,mullerlyer,short,long,s2_2,0
concurrent,S035,mullerlyer,short,short,s1_1,22
concurrent,S035,mullerlyer,short,short,s1_2,1
concurrent,S035,mullerlyer,short,short,s2_1,38
concurrent,S035,mullerlyer,short,short,s2_2,59
concurrent,S036,baserate,long,long,s1_1,97
concurrent,S036,baserate,long,long,s1_2,161
concurrent,S036,baserate,long,long,s2_1,12
concurrent,S036,baserate,long,long,s2_2,0
concurrent,S036,baserate,long,short,s1_1,33
concurrent,S036,baserate,long,short,s1_2,2
concurrent,S036,baserate,long,short,s2_1,25
concurrent,S036,baserate,long,short,s2_2,30
concurrent,S036,baserate,short,long,s1_1,27
concurrent,S036,baserate,short,long,s1_2,37
concurrent,S036,baserate,short,long,s2_1,23
concurrent,S036,baserate,short,long,s2_2,3
concurrent,S036,baserate,short,short,s1_1,18
concurrent,S036,baserate,short,short,s1_2,3
concurrent,S036,baserate,short,short,s2_1,144
